model,horizon,target,n,rank_ic,benchmark_model,benchmark_source_model,benchmark_rank_ic,benchmark_delta_ic,policy_path_rank_ic,policy_path_delta_ic,beta,nw_t_stat,nw_abs_t_stat,nw_p_value,r2,directional_accuracy,quantile_monotonic,quantile_realized_means,beats_benchmark,beats_policy_path,hac_significant,validated_pass
fadns,3m,2Y,2175,0.11866247254776305,max_random_walk_momentum,momentum_3m,0.2216627906068823,-0.10300031805911924,0.2025243834839067,-0.08386191093614365,0.10433342563119902,0.7718737501688407,0.7718737501688407,0.4401892058262666,0.014624103623975926,0.4514942528735632,False,-0.057724|0.044345|0.118690|0.147908|0.131241,False,False,False,False
fadns,3m,5Y,2175,0.16352752383646502,max_random_walk_momentum,momentum_3m,0.0399416300246072,0.12358589381185782,0.0642581007774352,0.09926942305902982,0.11019065386621081,0.967872425826674,0.967872425826674,0.3331080870148009,0.018151171748919448,0.5158620689655172,False,-0.104690|0.112414|0.031080|0.131172|0.133517,True,True,False,False
fadns,3m,10Y,2175,0.12667728657405458,max_random_walk_momentum,momentum_3m,-0.0522321867169732,0.1789094732910278,0.0401373014876502,0.08653998508640438,0.06994499331047849,0.7546874341549493,0.7546874341549493,0.4504365479375052,0.0085304349357197,0.5126436781609195,False,-0.069218|0.181977|-0.033632|0.110138|0.094299,True,True,False,False
fadns,3m,30Y,2175,0.057476643955198435,max_random_walk_momentum,momentum_3m,-0.1049854579096364,0.16246210186483484,0.0547710750907971,0.0027055688644013337,0.03803119565663553,0.483526160099423,0.483526160099423,0.6287221896916474,0.002916088369797065,0.5071264367816092,False,0.000828|0.155609|-0.036989|0.041839|0.116989,True,True,False,False
fadns,3m,2s10s,2175,0.1341212152297836,max_random_walk_momentum,momentum_3m,0.1473445018141901,-0.013223286584406496,0.2615575297191876,-0.127436314489404,0.3267596795009495,1.4816683912966346,1.4816683912966346,0.13842855152436062,0.027040426299255738,0.5360919540229885,False,-0.158897|0.025954|0.030966|0.044690|-0.043609,False,False,False,False
fadns,3m,5s30s,2175,-0.044688894730487455,max_random_walk_momentum,momentum_3m,0.1131401975231021,-0.15782909225358954,0.0218508476636357,-0.06653974239412316,0.009281931715284464,0.049913543948900456,0.049913543948900456,0.9601912842468754,2.943529202303896e-05,0.5379310344827586,False,-0.060897|0.080138|0.019494|-0.056184|-0.007770,False,False,False,False
fadns,6m,2Y,2128,0.22570470472266085,max_random_walk_momentum,momentum_3m,0.2488739252970503,-0.023169220574389443,0.2001678628428768,0.025536841879784056,0.2740643146422535,1.1653635239138884,1.1653635239138884,0.24387187565083787,0.06279105813092323,0.48120300751879697,False,-0.091174|-0.038635|0.203404|0.172353|0.490516,False,True,False,False
fadns,6m,5Y,2128,0.2275588326709189,max_random_walk_momentum,momentum_3m,0.0878780892125175,0.1396807434584014,0.0809881838146349,0.14657064885628399,0.20614958930334099,1.164808938190733,1.164808938190733,0.2440963400417015,0.047347177360271386,0.569078947368421,False,-0.051315|-0.022282|0.175329|0.060094|0.407629,True,True,False,False
fadns,6m,10Y,2128,0.12836013867793208,max_random_walk_momentum,momentum_3m,0.0138729370559449,0.11448720162198718,0.0867201243397756,0.04164001433815648,0.10772625970994348,0.843983530961937,0.843983530961937,0.39867860860617793,0.016796618934695418,0.5155075187969925,False,0.019484|0.068094|0.146808|-0.003482|0.292488,True,True,False,False
fadns,6m,30Y,2128,0.024150524273255407,max_random_walk_momentum,momentum_3m,-0.0308717433876035,0.05502226766085891,0.1147436270505194,-0.09059310277726398,0.03990048457705412,0.3812322234317879,0.3812322234317879,0.703030940484989,0.0029564135589070784,0.45864661654135336,False,0.165469|0.113859|0.034977|-0.143412|0.333662,True,False,False,False
fadns,6m,2s10s,2128,0.19121982312771532,max_random_walk_momentum,momentum_3m,0.2869064216087201,-0.09568659848100478,0.3194437059861608,-0.12822388285844546,0.44987687642282215,1.6457918301578816,1.6457918301578816,0.0998066248986661,0.06975881392635197,0.5249060150375939,False,-0.319131|0.014894|0.038146|0.104965|-0.051502,False,False,False,False
fadns,6m,5s30s,2128,-0.07199041607715762,max_random_walk_momentum,momentum_3m,0.1570380665735517,-0.22902848265070933,0.0707760884291192,-0.14276650450627681,0.0057842775229920845,0.025823693877167507,0.025823693877167507,0.9793979631678699,1.1555308850219603e-05,0.5108082706766918,False,-0.089272|0.140729|0.010446|-0.093318|-0.033216,False,False,False,False
