row_type,factor,horizon,target,n,rank_ic,benchmark_model,benchmark_source_model,benchmark_rank_ic,benchmark_delta_ic,beta,nw_t_stat,nw_abs_t_stat,nw_p_value,hh_t_stat,hh_p_value,hh_covariance_psd,hh_fallback_to_nw,r2,aligned_target,beats_benchmark,nw_significant,hac_pass,decision_tag,decision_target,decision_reason,front_momentum_beta,front_momentum_nw_t_stat
factor,cochrane_piazzesi,3m,2Y,2789,0.1726786268801872,max_random_walk_momentum,momentum_3m,0.2216627906068823,-0.04898416372669509,0.6618676580811265,1.6087217726683325,1.6087217726683325,0.1076771927616095,1.25451034522681,0.2096565679059832,True,False,0.041916969639621104,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,3m,5Y,2789,0.08814714162464134,max_random_walk_momentum,momentum_3m,0.0399416300246072,0.04820551160003414,0.15271733343993021,0.898950949001094,0.898950949001094,0.3686787882144626,0.7339926210518047,0.46295323532611815,True,False,0.011988787554701563,True,True,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,3m,10Y,2789,0.06825307768781791,max_random_walk_momentum,momentum_3m,-0.0522321867169732,0.12048526440479111,0.06179531900357764,0.6308410285319754,0.6308410285319754,0.5281444737117155,0.5265936409656783,0.5984758088648781,True,False,0.006019156979304663,True,True,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,3m,30Y,2789,0.03199806230570733,max_random_walk_momentum,momentum_3m,-0.1049854579096364,0.1369835202153437,0.03126119764622938,0.4045814291480155,0.4045814291480155,0.6857852114909199,0.33998054593850463,0.7338711783305978,True,False,0.0024458602009248542,True,True,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,3m,2s10s,2789,-0.22418921687434873,max_random_walk_momentum,momentum_3m,0.1473445018141901,-0.3715337186885388,-0.16900173448778755,-2.0939121209349154,2.0939121209349154,0.036267809324351724,-1.7237008836491448,0.0847618554258449,True,False,0.06309079500095582,True,False,True,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,3m,5s30s,2789,-0.1482517204341213,max_random_walk_momentum,momentum_3m,0.1131401975231021,-0.2613919179572234,-0.11718519054607165,-1.3821003186301013,1.3821003186301013,0.16694090067294468,-1.140147014622445,0.25422505767584735,True,False,0.020402217727527483,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,6m,2Y,2726,0.14687130558318634,max_random_walk_momentum,momentum_3m,0.2488739252970503,-0.10200261971386396,1.0526999812809288,1.0872376974029467,1.0872376974029467,0.2769317747179803,0.8415425351026318,0.4000440666090459,True,False,0.04310489151615371,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,6m,5Y,2726,0.06588141590696302,max_random_walk_momentum,momentum_3m,0.0878780892125175,-0.02199667330555448,0.21870556054213555,0.6078000915246852,0.6078000915246852,0.5433200685879759,0.47991108115031184,0.6312906214686032,True,False,0.011965461318815263,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,6m,10Y,2726,0.08125886654152005,max_random_walk_momentum,momentum_3m,0.0138729370559449,0.06738592948557515,0.09575799253801213,0.4895779888433749,0.4895779888433749,0.6244325552391587,0.39278084828905147,0.6944813510451422,True,False,0.007625458977509325,True,True,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,cochrane_piazzesi,6m,30Y,2726,0.06830846918709588,max_random_walk_momentum,momentum_3m,-0.0308717433876035,0.09918021257469938,0.05789618426563971,0.37850763070945276,0.37850763070945276,0.7050535262190338,0.3076903242736174,0.7583179828982469,True,False,0.004675539907590842,True,True,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
