macro_block,horizon,target,expected_sign,noise_band,n,rank_ic,signed_rank_ic,directional_accuracy,nw_t_stat,nw_abs_t_stat,nw_p_value,correct_sign,verdict,decision
inflation_regime,3m,10Y,+,0.15,2176,0.0921314597017839,0.0921314597017839,0.5225183823529411,1.1559450247636243,1.1559450247636243,0.24770364438891948,True,explanation-only,explanation-only
inflation_regime,6m,10Y,+,0.22,2129,0.14857588766343924,0.14857588766343924,0.5025833724753406,1.2749199127986834,1.2749199127986834,0.20233759018333952,True,explanation-only,explanation-only
policy_path,3m,2Y,+,0.15,2176,0.22123570994358555,0.22123570994358555,0.5064338235294118,1.916385748952563,1.916385748952563,0.055316013419792656,True,explanation-only,explanation-only
policy_path,3m,2s10s,-,0.15,2176,-0.2602119545454767,0.2602119545454767,0.5758272058823529,2.5757918063802467,2.5757918063802467,0.010001084451216426,True,signal,signal
policy_path,6m,2Y,+,0.22,2129,0.1932834643462009,0.1932834643462009,0.4776890558947863,1.7113271583915644,1.7113271583915644,0.08702073555826746,True,explanation-only,explanation-only
policy_path,6m,2s10s,-,0.22,2129,-0.3594673597825697,0.3594673597825697,0.5894786284640676,2.9481191051182156,2.9481191051182156,0.003197138587362765,True,signal,signal
growth_risk,3m,2s10s,+,0.15,2176,0.2286803870776569,0.2286803870776569,0.6098345588235294,1.2963193955521373,1.2963193955521373,0.19486546909201805,True,signal,signal
growth_risk,3m,10Y,+,0.15,2176,-0.14020478614669538,-0.14020478614669538,0.42463235294117646,-1.4452341252936036,1.4452341252936036,0.14839213407704124,False,explanation-only,explanation-only
growth_risk,6m,2s10s,+,0.22,2129,0.3953638983517036,0.3953638983517036,0.6627524659464538,2.603933358502859,2.603933358502859,0.00921606746841128,True,signal,signal
growth_risk,6m,10Y,+,0.22,2129,-0.09569787934054881,-0.09569787934054881,0.4903710662282762,-1.0402668470016685,1.0402668470016685,0.29821594234631554,False,explanation-only,explanation-only
liquidity_supply,3m,10Y,+,0.15,2176,0.09561496527998428,0.09561496527998428,0.5307904411764706,1.41066073384183,1.41066073384183,0.15834467426151166,True,explanation-only,explanation-only
liquidity_supply,3m,30Y,+,0.15,2176,0.0895526579087409,0.0895526579087409,0.5170036764705882,1.2784705326684973,1.2784705326684973,0.20108356837654914,True,explanation-only,explanation-only
liquidity_supply,6m,10Y,+,0.22,2129,0.19894774687304478,0.19894774687304478,0.5627054955378111,1.7776633675787878,1.7776633675787878,0.0754591595664228,True,explanation-only,explanation-only
liquidity_supply,6m,30Y,+,0.22,2129,0.17812980635121123,0.17812980635121123,0.5472052606857679,1.6041137940585537,1.6041137940585537,0.1086889718751498,True,explanation-only,explanation-only
global_relative_value,3m,10Y,+,0.15,2176,-0.09557876973756116,-0.09557876973756116,0.4834558823529412,-0.4241179990460958,0.4241179990460958,0.6714797595332204,False,explanation-only,explanation-only
global_relative_value,3m,30Y,+,0.15,2176,-0.09654159030799266,-0.09654159030799266,0.45358455882352944,-0.4674565747501407,0.4674565747501407,0.6401732539818235,False,explanation-only,explanation-only
global_relative_value,6m,10Y,+,0.22,2129,-0.1083168770912553,-0.1083168770912553,0.44668858619069984,-0.19619424286632056,0.19619424286632056,0.8444581340203579,False,explanation-only,explanation-only
global_relative_value,6m,30Y,+,0.22,2129,-0.10135863750009416,-0.10135863750009416,0.4668858619069986,-0.20327101056261723,0.20327101056261723,0.8389232127272278,False,explanation-only,explanation-only
