as_of,target,month,horizon_days,current,central,delta_bp,p10,p25,p50,p75,p90,base_central,overlay_bp,overlay_reasons,uncertainty_widen_bp
2026-05-30,2Y,1,21,3.962841,3.973563,1.0722,3.060285,3.523075,3.973563,4.380697,4.7105,3.973563,0.0,"['atlanta_mpt_object_pod: no high-conviction next-meeting cut/hike probability; overlay step +0.0bp.', 'Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.']",23.17326
2026-05-30,5Y,11,231,4.163874,4.085011,-7.8863,2.454672,3.178521,4.085011,4.809843,5.484291,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",15.652476
2026-05-30,5Y,12,252,4.163874,4.073403,-9.0471,2.299294,3.083285,4.073403,4.803788,5.548502,,,"['May 2027 contains QRA (5/05, date estimated) + NFP (5/07, date estimated) + CPI (5/12, date estimated) + PCE (5/28, date estimated); fan widened by configured event uncertainty.']",16.763055
2026-05-30,10Y,1,21,4.43146,4.436088,0.4628,3.593836,4.050922,4.436088,4.823808,5.165102,,,['Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.'],20.149442
2026-05-30,10Y,2,42,4.43146,4.434219,0.2759,3.311087,3.969303,4.434219,4.9611,5.315439,,,['Jul 2026 contains NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.'],20.149442
2026-05-30,10Y,3,63,4.43146,4.427869,-0.3591,3.17686,3.888458,4.427869,5.012458,5.440911,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",18.520259
2026-05-30,10Y,4,84,4.43146,4.41854,-1.292,3.08051,3.774493,4.41854,5.037636,5.533974,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],20.149442
2026-05-30,10Y,5,105,4.43146,4.407339,-2.4121,2.97319,3.67884,4.407339,5.026435,5.567474,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],20.149442
2026-05-30,10Y,6,126,4.43146,4.395077,-3.6383,2.882411,3.603603,4.395077,5.038127,5.606762,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",18.520259
2026-05-30,10Y,7,147,4.43146,4.382339,-4.9121,2.709631,3.510726,4.382339,5.033535,5.662149,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],20.149442
2026-05-30,10Y,8,168,4.43146,4.369542,-6.1918,2.638601,3.464174,4.369542,5.000923,5.672435,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",16.186414
2026-05-30,10Y,9,189,4.43146,4.356976,-7.4484,2.602696,3.406597,4.356976,5.000026,5.72978,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",18.520259
2026-05-30,10Y,10,210,4.43146,4.344836,-8.6624,2.613895,3.403755,4.344836,4.997184,5.783431,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",16.186414
2026-05-30,10Y,11,231,4.43146,4.333246,-9.8214,2.602305,3.34926,4.333246,4.998868,5.802931,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",16.186414
2026-05-30,10Y,12,252,4.43146,4.322282,-10.9178,2.548773,3.220043,4.322282,4.999573,5.820257,,,"['May 2027 contains QRA (5/05, date estimated) + NFP (5/07, date estimated) + CPI (5/12, date estimated) + PCE (5/28, date estimated); fan widened by configured event uncertainty.']",18.520259
2026-05-30,30Y,1,21,4.991826,4.939653,-5.2173,4.166468,4.575805,4.939653,5.263139,5.591919,,,['Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.'],17.578396
2026-05-30,30Y,2,42,4.991826,4.893705,-9.8121,3.862943,4.418101,4.893705,5.368635,5.692571,,,['Jul 2026 contains NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.'],17.578396
2026-05-30,30Y,3,63,4.991826,4.853139,-13.8687,3.708528,4.321467,4.853139,5.423619,5.809505,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",17.578396
2026-05-30,30Y,4,84,4.991826,4.817248,-17.4578,3.554247,4.154904,4.817248,5.402806,5.918813,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],17.578396
2026-05-30,30Y,5,105,4.991826,4.785427,-20.6399,3.456157,4.048555,4.785427,5.430819,5.979326,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],17.578396
2026-05-30,30Y,6,126,4.991826,4.757165,-23.4661,3.276508,3.976386,4.757165,5.418035,6.04765,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",17.578396
2026-05-30,30Y,7,147,4.991826,4.73202,-25.9806,3.126935,3.909497,4.73202,5.39289,6.179021,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],17.578396
2026-05-30,30Y,8,168,4.991826,4.709615,-28.2211,3.135746,3.9027,4.709615,5.439041,6.264149,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",14.456832
2026-05-30,30Y,9,189,4.991826,4.689622,-30.2204,3.084537,3.867099,4.689622,5.54371,6.35009,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",17.578396
2026-05-30,30Y,10,210,4.991826,4.671759,-32.0067,3.094485,3.864844,4.671759,5.630454,6.360037,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",14.456832
2026-05-30,30Y,11,231,4.991826,4.655777,-33.6049,3.05501,3.817732,4.655777,5.653366,6.34065,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",14.456832
2026-05-30,30Y,12,252,4.991826,4.641462,-35.0364,2.986403,3.678136,4.641462,5.696076,6.357551,,,"['May 2027 contains QRA (5/05, date estimated) + NFP (5/07, date estimated) + CPI (5/12, date estimated) + PCE (5/28, date estimated); fan widened by configured event uncertainty.']",17.578396
2026-05-30,2s10s,1,21,0.468619,0.462525,-0.6094,-0.017169,0.223572,0.462525,0.708881,0.969788,0.462525,0.0,"['atlanta_mpt_object_pod: no high-conviction next-meeting cut/hike probability; overlay step +0.0bp.', 'Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.']",30.708305
2026-05-30,2s10s,2,42,0.468619,0.458111,-1.0508,-0.114622,0.173713,0.458111,0.749883,1.073152,,,['Jul 2026 contains NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.'],30.708305
2026-05-30,2s10s,3,63,0.468619,0.455039,-1.358,-0.096063,0.176275,0.455039,0.757417,1.09749,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",23.769729
2026-05-30,2s10s,4,84,0.468619,0.453042,-1.5577,-0.190633,0.117024,0.453042,0.800311,1.261909,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],30.708305
2026-05-30,2s10s,5,105,0.468619,0.451907,-1.6712,-0.276554,0.088168,0.451907,0.824081,1.345228,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],30.708305
2026-05-30,2s10s,6,126,0.468619,0.451465,-1.7154,-0.277762,0.084337,0.451465,0.824284,1.34402,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",23.769729
2026-05-30,2s10s,7,147,0.468619,0.45158,-1.7039,-0.407166,0.012098,0.45158,0.888025,1.472474,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],30.708305
2026-05-30,2s10s,8,168,0.468619,0.452144,-1.6475,-0.449636,0.010582,0.452144,0.886508,1.430003,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",21.794495
2026-05-30,2s10s,9,189,0.468619,0.453067,-1.5552,-0.505014,-0.02128,0.453067,0.909728,1.432421,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",23.769729
2026-05-30,2s10s,10,210,0.468619,0.454279,-1.434,-0.525705,-0.042004,0.454279,0.915646,1.453357,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",21.794495
2026-05-30,2s10s,11,231,0.468619,0.455723,-1.2896,-0.608278,-0.072025,0.455723,0.946773,1.521172,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",21.794495
2026-05-30,2s10s,12,252,0.468619,0.45735,-1.1269,-0.680842,-0.130008,0.45735,0.980522,1.60448,,,"['May 2027 contains QRA (5/05, date estimated) + NFP (5/07, date estimated) + CPI (5/12, date estimated) + PCE (5/28, date estimated); fan widened by configured event uncertainty.']",23.769729
2026-05-30,5s30s,1,21,0.827951,0.765002,-6.2949,0.271071,0.520321,0.765002,1.004232,1.232922,,,['Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.'],27.386128
2026-05-30,5s30s,2,42,0.827951,0.716311,-11.164,0.129518,0.418997,0.716311,1.012516,1.274872,,,['Jul 2026 contains NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.'],27.386128
2026-05-30,5s30s,3,63,0.827951,0.678695,-14.9256,0.074354,0.340657,0.678695,0.984688,1.319409,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",24.289916
2026-05-30,5s30s,4,84,0.827951,0.649689,-17.8262,-0.019027,0.268381,0.649689,1.033416,1.366867,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],27.386128
2026-05-30,5s30s,5,105,0.827951,0.627384,-20.0567,-0.125921,0.235197,0.627384,1.062461,1.415572,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],27.386128
2026-05-30,5s30s,6,126,0.827951,0.610298,-21.7653,-0.189088,0.164218,0.610298,1.03304,1.368989,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",24.289916
2026-05-30,5s30s,7,147,0.827951,0.597281,-23.067,-0.309195,0.098487,0.597281,1.059748,1.398391,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],27.386128
2026-05-30,5s30s,8,168,0.827951,0.58744,-24.0511,-0.370761,0.072127,0.58744,1.033387,1.336825,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",21.307276
2026-05-30,5s30s,9,189,0.827951,0.580081,-24.787,-0.441637,0.038614,0.580081,1.071179,1.406381,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",24.289916
2026-05-30,5s30s,10,210,0.827951,0.574663,-25.3288,-0.422973,0.030243,0.574663,1.062899,1.452717,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",21.307276
2026-05-30,5s30s,11,231,0.827951,0.570765,-25.7186,-0.468926,9e-06,0.570765,1.068395,1.490244,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",21.307276
2026-05-30,5s30s,12,252,0.827951,0.568058,-25.9893,-0.508947,-0.017612,0.568058,1.117883,1.651771,,,"['May 2027 contains QRA (5/05, date estimated) + NFP (5/07, date estimated) + CPI (5/12, date estimated) + PCE (5/28, date estimated); fan widened by configured event uncertainty.']",24.289916
