as_of,target,month,horizon_days,current,central,delta_bp,p10,p25,p50,p75,p90,base_central,overlay_bp,overlay_reasons,uncertainty_widen_bp
2026-05-30,2Y,1,21,3.962841,3.973563,1.0722,3.060285,3.523075,3.973563,4.380697,4.7105,3.973563,0.0,"['atlanta_mpt_object_pod: no high-conviction next-meeting cut/hike probability; overlay step +0.0bp.', 'Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.']",23.17326
2026-05-30,2Y,2,42,3.962841,3.976108,1.3267,2.716751,3.427156,3.976108,4.491234,4.855297,,,['Jul 2026 contains NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.'],23.17326
2026-05-30,2Y,3,63,3.962841,3.97283,0.9989,2.584816,3.411711,3.97283,4.53238,4.875755,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",14.899664
2026-05-30,2Y,4,84,3.962841,3.965498,0.2657,2.347742,3.363011,3.965498,4.643164,5.080554,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],23.17326
2026-05-30,2Y,5,105,3.962841,3.955432,-0.7409,2.26109,3.352945,3.955432,4.690146,5.18137,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],23.17326
2026-05-30,2Y,6,126,3.962841,3.943611,-1.923,2.255095,3.338213,3.943611,4.675415,5.21089,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",14.899664
2026-05-30,2Y,7,147,3.962841,3.930758,-3.2083,2.090739,3.288104,3.930758,4.665472,5.352938,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],23.17326
2026-05-30,2Y,8,168,3.962841,3.917398,-4.5443,2.113381,3.317637,3.917398,4.696738,5.37558,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",14.59452
2026-05-30,2Y,9,189,3.962841,3.903909,-5.8932,2.13723,3.30211,3.903909,4.728503,5.399428,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",14.899664
2026-05-30,2Y,10,210,3.962841,3.890556,-7.2285,2.118399,3.204763,3.890556,4.781427,5.475854,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",14.59452
2026-05-30,2Y,11,231,3.962841,3.877524,-8.5317,2.088018,3.099189,3.877524,4.837981,5.621195,,,"['Apr 2027 contains NFP (4/02, date estimated) + CPI (4/14, date estimated) + PCE (4/30, date estimated); fan widened by configured event uncertainty.']",14.59452
2026-05-30,2Y,12,252,3.962841,3.864932,-9.7909,2.024356,3.048138,3.864932,4.862213,5.63165,,,"['May 2027 contains QRA (5/05, date estimated) + NFP (5/07, date estimated) + CPI (5/12, date estimated) + PCE (5/28, date estimated); fan widened by configured event uncertainty.']",14.899664
2026-05-30,5Y,1,21,4.163874,4.17465,1.0776,3.320266,3.766519,4.17465,4.597188,4.915327,,,['Jun 2026 contains NFP (6/05) + CPI (6/10) + FOMC (6/17) + PCE (6/25); fan widened by configured event uncertainty.'],21.0
2026-05-30,5Y,2,42,4.163874,4.177393,1.3519,2.996023,3.671254,4.177393,4.699007,5.028094,,,['Jul 2026 contains NFP (7/02) + CPI (7/14) + FOMC (7/29) + PCE (7/30); fan widened by configured event uncertainty.'],21.0
2026-05-30,5Y,3,63,4.163874,4.174443,1.0569,2.901163,3.659378,4.174443,4.74623,5.130821,,,"['Aug 2026 contains QRA (8/05, date estimated) + NFP (8/07) + CPI (8/12) + PCE (8/26); fan widened by configured event uncertainty.']",16.763055
2026-05-30,5Y,4,84,4.163874,4.167557,0.3683,2.779231,3.604794,4.167557,4.81051,5.273916,,,['Sep 2026 contains NFP (9/04) + CPI (9/11) + FOMC (9/16) + PCE (9/30); fan widened by configured event uncertainty.'],21.0
2026-05-30,5Y,5,105,4.163874,4.158042,-0.5832,2.686901,3.546497,4.158042,4.810161,5.300729,,,['Oct 2026 contains NFP (10/02) + CPI (10/14) + FOMC (10/28) + PCE (10/29); fan widened by configured event uncertainty.'],21.0
2026-05-30,5Y,6,126,4.163874,4.146866,-1.7008,2.655211,3.516662,4.146866,4.780326,5.269038,,,"['Nov 2026 contains QRA (11/04, date estimated) + NFP (11/06) + CPI (11/10) + PCE (11/25); fan widened by configured event uncertainty.']",16.763055
2026-05-30,5Y,7,147,4.163874,4.134739,-2.9135,2.563586,3.439362,4.134739,4.786858,5.285612,,,['Dec 2026 contains NFP (12/04) + FOMC (12/09) + CPI (12/10) + PCE (12/23); fan widened by configured event uncertainty.'],21.0
2026-05-30,5Y,8,168,4.163874,4.122174,-4.17,2.549462,3.378432,4.122174,4.747555,5.271489,,,"['Jan 2027 contains NFP (1/08, date estimated) + CPI (1/13, date estimated) + PCE (1/29, date estimated); fan widened by configured event uncertainty.']",15.652476
2026-05-30,5Y,9,189,4.163874,4.109541,-5.4333,2.515252,3.320662,4.109541,4.805815,5.342139,,,"['Feb 2027 contains QRA (2/03, date estimated) + NFP (2/05, date estimated) + CPI (2/11, date estimated) + PCE (2/26, date estimated); fan widened by configured event uncertainty.']",16.763055
2026-05-30,5Y,10,210,4.163874,4.097095,-6.6779,2.513912,3.247342,4.097095,4.803689,5.43081,,,"['Mar 2027 contains NFP (3/05, date estimated) + CPI (3/11, date estimated) + PCE (3/26, date estimated); fan widened by configured event uncertainty.']",15.652476
